Acorn Helm (Palico),Head,3,1,3,0,-3,0
Acorn Mail (Palico),Body,7,0,2,0,-2,0
Alloy Helm (Palico),Head,5,-1,1,-2,-1,0
Alloy Mail (Palico),Body,9,-1,1,-2,-1,0
Alta Hat (Palico),Head,6,-2,-2,-2,-2,0
Alta Shirt (Palico),Body,10,-1,-1,-1,2,0
Angel Feathers (Palico),Body,66,-2,2,0,1,-4
Angel Halo (Palico),Head,36,-3,3,0,1,-5
Aptonoth Mask (Palico),Head,12,-1,-1,-1,-1,4
Aptonoth Suit (Palico),Body,22,-1,-1,-1,-1,4
Artian Core (Palico),Head,23,0,-3,-3,1,2
Artian Gear (Palico),Body,41,0,-2,-2,0,2
Arzuros Helm (Palico),Head,7,-2,2,0,-1,2
Arzuros Mail (Palico),Body,13,-2,1,0,-1,2
Astalos Mask (Palico),Head,23,1,-2,4,-3,3
Astalos Suit (Palico),Body,41,0,-2,3,-2,2
Bherna Hood (Palico),Head,3,0,2,0,0,0
Bherna Mail (Palico),Body,7,0,1,0,0,0
Blango Garb (Palico),Body,36,-3,1,0,1,1
Blango Mask (Palico),Head,20,-4,2,-1,2,1
Bnaha Cap (Palico),Head,6,-4,-1,2,-1,2
Bnaha Suit (Palico),Body,10,-2,-1,1,-1,1
Bone Helm (Palico),Head,5,1,0,-1,-2,0
Bone Mail (Palico),Body,9,1,0,-1,-2,0
Brachy Gloves (Palico),Body,66,1,-3,0,-1,0
Brachy Headgear (Palico),Head,36,2,-4,0,-2,0
Bulldrome Mask (Palico),Head,7,-1,0,-3,0,1
Bulldrome Vest (Palico),Body,13,-1,0,-2,0,1
Cabra Horn (Palico),Head,16,3,-2,-2,1,2
Cabra Wrap (Palico),Body,28,3,-2,-2,1,2
Ceanataur Mask (Palico),Head,20,1,2,-1,-1,0
Ceanataur Suit (Palico),Body,36,1,2,-1,-1,0
Cephalos Dress (Palico),Body,13,2,0,-1,-3,1
Cephalos Hat (Palico),Head,7,2,0,-1,-3,1
Chaos Bulbs (Palico),Head,22,-2,3,0,-4,0
Chaos Skirt (Palico),Body,38,-2,3,0,-4,0
Daimyo Mask (Palico),Head,16,-3,3,-4,0,1
Daimyo Suit (Palico),Body,28,-2,2,-2,0,0
Death Stench Coat (Palico),Body,36,2,1,1,-1,0
Death Stench Hood (Palico),Head,20,4,2,2,-2,0
Derring Galea (Palico),Head,20,2,0,0,0,1
Derring Lorica (Palico),Body,36,2,0,0,0,1
Edel Frills (Palico),Body,32,-2,3,0,-3,3
Edel Pigtails (Palico),Head,18,-2,3,0,-3,3
El Dora Helm (Palico),Head,23,0,0,0,-2,4
El Dora Mail (Palico),Body,41,0,0,0,-2,4
Gammoth Coat (Palico),Body,41,-2,2,-3,3,0
Gammoth Collar (Palico),Head,23,-2,2,-3,3,0
Gargwa Mask (Palico),Head,12,-3,-2,-2,-2,5
Gargwa Vest (Palico),Body,22,-2,-1,-1,-1,3
Garuga Hood (Palico),Head,23,2,-2,2,-1,1
Garuga Robe (Palico),Body,41,2,-2,2,-1,1
Genie Carpet (Palico),Body,66,-3,2,0,3,-1
Genie Helm (Palico),Head,36,-4,3,0,4,-1
Genprey Helm (Palico),Head,7,1,1,-2,-4,2
Genprey Mail (Palico),Body,13,0,0,-1,-2,1
Glavenus Helm (Palico),Head,30,3,-3,0,-1,0
Glavenus Mail (Palico),Body,48,2,-2,0,-1,0
Gore Ghost (Palico),Body,48,-3,3,-2,2,-1
Gore Horror (Palico),Head,30,-3,3,-2,2,-1
Gourmet Suit (Palico),Body,22,-4,2,2,2,0
Gourmet Toque (Palico),Head,12,-4,2,2,2,0
Guild Headgear (Palico),Head,30,0,0,0,0,0
Guild Suit (Palico),Body,48,0,0,0,0,0
Gypceros Cloth (Palico),Body,28,-4,1,2,-2,0
Gypceros Crest (Palico),Head,16,-4,1,2,-2,0
Helper Hood (Palico),Head,22,0,0,0,3,0
Helper Mail (Palico),Body,38,0,0,0,3,0
Hunting Helm (Palico),Head,6,1,-1,1,-1,0
Hunting Mail (Palico),Body,10,1,-1,1,-1,0
Husk Mask (Palico),Head,36,0,2,0,2,-4
Husk Suit (Palico),Body,66,0,2,0,2,-3
Ioprey Helm (Palico),Head,12,0,-3,-3,2,2
Ioprey Mail (Palico),Body,22,0,-3,-3,2,2
Jaggi Helm (Palico),Head,5,-4,0,0,0,2
