_id,slot,defense,max_defense,fire_res,thunder_res,dragon_res,water_res,ice_res,hunter_type,num_slots,name,rarity
1310721,Head,1,25,0,0,0,0,0,2,1,Leather Headgear,1
1310722,Head,2,26,0,1,0,0,0,2,3,Chainmail Headgear,1
1310723,Head,2,26,0,0,0,1,0,2,1,Bherna Turban,1
1310724,Head,2,26,1,0,0,0,0,0,1,Hunting Helm,1
1310725,Head,1,25,2,0,0,0,0,1,1,Hunting Cap,1
1310726,Head,2,26,-1,0,0,0,2,2,2,Mafumofu Hood,1
1310727,Head,2,26,0,1,0,0,0,2,1,Yukumo Kasa,1
1310729,Head,6,30,0,0,0,0,0,0,0,Hunter's Helm,1
1310730,Head,3,27,0,0,0,0,0,1,0,Hunter's Cap,1
1310731,Head,6,30,0,0,0,0,-1,0,1,Bone Helm,1
1310732,Head,3,27,0,0,0,0,-1,1,1,Bone Cap,1
1310735,Head,6,30,2,0,0,-2,0,0,1,Chaoshroom,1
1310736,Head,3,27,2,0,0,-2,0,1,1,Chaos Diadem,1
1310743,Head,6,30,-2,0,0,0,0,0,0,Jaggi Helm,1
1310744,Head,3,27,-2,0,0,0,0,1,0,Jaggi Cap,1
1310745,Head,8,32,-2,0,0,0,0,0,1,Maccao Helm,1
1310746,Head,4,28,-2,1,1,1,1,1,1,Maccao Cap,1
1310747,Head,8,32,0,0,0,0,-2,0,1,Velociprey Helm,1
1310748,Head,4,28,0,1,0,1,-2,1,1,Velociprey Cap,1
1310749,Head,8,32,0,-1,0,0,2,0,0,Giaprey Helm,1
1310750,Head,4,28,0,-1,0,0,3,1,0,Giaprey Cap,1
1310751,Head,10,34,0,1,0,0,-2,0,2,Genprey Helm,1
1310752,Head,5,29,1,2,0,0,-2,1,2,Genprey Cap,1
1310753,Head,10,34,-2,1,2,1,1,0,2,Vespoid Helm,1
1310754,Head,5,29,-2,2,3,2,2,1,2,Vespoid Cap,1
1310755,Head,10,34,-1,-1,4,-1,-1,0,1,Hornetaur Helm,1
1310756,Head,5,29,-1,-1,6,-1,-1,1,1,Hornetaur Cap,1
1310757,Head,10,34,-2,0,2,0,0,0,1,Bnahabra Hat,1
1310758,Head,5,29,-2,1,3,1,1,1,1,Bnahabra Headpiece,1
1310759,Head,12,36,0,1,1,1,1,0,2,Konchu Helm,1
1310760,Head,6,30,0,2,2,2,2,1,2,Konchu Cap,1
1310761,Head,5,29,0,0,0,0,0,2,1,Mosswine Mask,1
1310762,Head,12,36,2,0,0,0,-2,0,0,Rhenoplos Helm,1
1310763,Head,6,30,3,0,0,0,-2,1,0,Rhenoplos Cap,1
1310764,Head,12,36,0,-2,0,2,1,0,1,Bulldrome Helm,1
1310765,Head,6,30,0,-2,0,3,1,1,1,Bulldrome Cap,1
1310766,Head,8,32,0,-2,0,4,0,2,0,Bullfango Mask,1
1310767,Head,14,38,-2,-2,0,0,0,0,2,Arzuros Helm,1
1310768,Head,7,31,-2,-2,0,0,0,1,2,Arzuros Cap,1
1310769,Head,14,38,2,0,0,0,-3,0,1,Cephalos Helm,1
1310770,Head,7,31,2,0,0,0,-3,1,1,Cephalos Cap,1
1310771,Head,8,28,0,0,0,0,0,2,2,Derring Headgear,2
1310772,Head,12,32,-1,-1,0,0,-1,0,0,Alloy Helm,2
1310773,Head,6,26,-1,-1,0,0,-1,1,0,Alloy Cap,2
1310774,Head,12,32,1,-1,0,-1,0,0,1,Battle Helm,2
1310775,Head,6,26,2,-1,0,-1,0,1,1,Battle Cap,2
1310776,Head,14,34,-1,1,0,-1,0,0,1,Ingot Helm,2
1310777,Head,7,27,-1,2,0,-1,0,1,1,Ingot Cap,2
1310778,Head,14,34,0,2,0,-1,-1,0,1,High Metal Helm,2
1310779,Head,7,27,0,3,0,-1,-1,1,0,High Metal Cap,2
1310782,Head,12,32,0,1,0,1,0,0,1,Melahoa Hat,2
1310783,Head,6,26,0,1,0,1,0,1,1,Melahoa Bloom,2
1310784,Head,14,34,1,-2,0,2,0,0,1,Makluva Hood,2
1310785,Head,7,27,1,-2,0,3,0,1,1,Makluva Gills,2
1310786,Head,12,32,3,0,0,1,2,0,1,Bistro Toque,2
1310787,Head,6,26,4,0,0,1,3,1,1,Bistro Cap,2
1310788,Head,18,38,2,2,3,-2,-2,0,1,Obituary Vertex,2
1310789,Head,9,29,3,2,4,-2,-2,1,1,Obituary Clypeus,2
1310790,Head,18,38,2,2,3,-2,-2,0,1,Butterfly Vertex,2
1310791,Head,9,29,3,2,4,-2,-2,1,1,Butterfly Clypeus,2
1310792,Head,16,36,2,1,0,1,-1,0,0,Death Stench Brain,2
1310793,Head,8,28,3,1,0,1,-1,1,0,Death Stench Soul,2
1310794,Head,16,36,2,0,0,2,-2,0,1,Acorn Helm,2
1310795,Head,8,28,3,0,0,3,-2,1,1,Acorn Cap,2
1310796,Head,14,34,-3,0,0,1,2,0,0,Mosgharl Vizor,2
1310797,Head,7,27,-3,0,0,2,3,1,0,Mosgharl Brim,2
1310798,Head,14,34,-1,-1,0,3,0,0,2,Edel Vizor,2
1310799,Head,7,27,-1,-1,0,4,0,1,2,Edel Bloom,2
1310800,Head,18,38,3,-1,3,-1,-1,0,1,Skalda Vertex,2
1310801,Head,9,29,4,-1,3,-1,-1,1,1,Skalda Clypeus,2
1310802,Head,18,38,3,-1,3,-1,-1,0,1,Spio Vertex,2
1310803,Head,9,29,4,-1,3,-1,-1,1,1,Spio Clypeus,2
1310808,Head,8,28,-2,-2,0,2,-2,2,0,Larinoth Mask,2
1310809,Head,8,28,-3,-2,0,-2,1,2,0,Gargwa Mask,2
1310810,Head,14,34,-1,2,0,0,3,0,1,Moofah Head,2
1310811,Head,7,27,-1,3,0,0,4,1,1,Moofah Wig,2
1310812,Head,8,28,2,2,2,2,0,2,0,False Felyne,2
1310813,Head,10,30,1,1,1,2,1,0,0,Velociprey Head,2
1310814,Head,5,25,1,1,1,3,1,1,0,Velociprey Mask,2
1310815,Head,10,30,1,2,1,1,1,0,0,Genprey Head,2
1310816,Head,5,25,1,3,1,1,1,1,0,Genprey Mask,2
1310817,Head,10,30,2,1,1,1,1,0,0,Ioprey Head,2
1310818,Head,5,25,3,1,1,1,1,1,0,Ioprey Mask,2
1310819,Head,10,30,1,1,2,1,1,0,0,Remobra Headgear,2
1310820,Head,5,25,1,1,3,1,1,1,0,Remobra Mask,2
1310821,Head,14,34,2,-1,0,-1,0,0,2,Ioprey Helm,2
1310822,Head,7,27,3,-1,0,-1,0,1,2,Ioprey Cap,2
1310823,Head,16,36,4,0,0,-1,-3,0,0,Kut-Ku Helm,2
1310824,Head,8,28,5,0,0,-1,-3,1,0,Kut-Ku Cap,2
1310825,Head,14,34,-3,0,0,1,4,0,1,Lagombi Helm,2
1310826,Head,7,27,-3,0,0,1,5,1,1,Lagombi Cap,2
1310827,Head,16,36,-3,4,0,1,-1,0,0,Gypceros Helm,2
1310828,Head,8,28,-3,5,0,1,-1,1,0,Gypceros Cap,2
1310829,Head,18,38,2,-1,1,-3,0,0,0,Tetsucabra Helm,2
1310830,Head,9,29,3,-1,1,-3,0,1,0,Tetsucabra Cap,2
1310831,Head,20,40,-1,-3,1,3,0,0,0,Hermitaur Helm,2
1310832,Head,10,30,-1,-3,1,4,0,1,0,Hermitaur Cap,2
1310833,Head,18,38,2,0,1,-3,-1,0,0,Volvidon Helm,2
1310834,Head,9,29,3,0,1,-3,-1,1,0,Volvidon Cap,2
1310835,Head,18,38,-3,-1,0,4,0,0,1,Ludroth Helm,2
1310836,Head,9,29,-3,-1,0,5,0,1,1,Ludroth Cap,2
1310837,Head,18,38,-2,1,0,-2,1,0,0,Malfestio Helm,2
1310838,Head,9,29,-1,1,0,-2,1,1,0,Malfestio Cap,2
1310839,Head,18,38,-4,4,1,1,2,0,0,Khezu Helm,2
1310840,Head,9,29,-4,5,1,1,2,1,0,Khezu Cap,2
1310841,Head,20,40,3,-2,-3,0,0,0,1,Rathian Helm,2
1310842,Head,10,30,4,-2,-3,0,0,1,1,Rathian Cap,2
1310843,Head,20,40,2,-1,1,0,-3,0,0,Nibelsnarf Helm,2
1310844,Head,10,30,3,-1,1,0,-3,1,1,Nibelsnarf Cap,2
1310845,Head,18,38,-4,0,0,1,4,0,0,Blango Helm,2
1310846,Head,9,29,-4,0,0,1,5,1,0,Blango Cap,2
1310847,Head,20,40,1,-1,0,2,-1,0,1,Ceanataur Helm,2
1310848,Head,10,30,2,-1,0,2,-1,1,1,Ceanataur Cap,2
1310849,Head,20,40,1,0,1,-1,-3,0,1,Najarala Helm,2
1310850,Head,10,30,1,1,1,-1,-3,1,1,Najarala Cap,2
1310851,Head,18,38,-2,-3,1,1,1,0,1,Nargacuga Helm,2
1310852,Head,9,29,-2,-2,1,1,1,1,1,Nargacuga Cap,2
1310853,Head,18,38,0,0,0,0,0,0,0,Scholarly Hood,2
1310854,Head,9,29,0,0,0,0,0,1,0,Scholarly Cap,2
1310855,Head,20,40,0,-2,0,3,-1,0,2,Vaik Helm,3
1310856,Head,10,30,0,-2,0,4,-1,1,2,Vaik Cap,3
1310857,Head,14,34,-3,-3,2,-3,-3,0,0,Skull Visage,3
1310858,Head,7,27,-3,-3,4,-3,-3,1,0,Skull Mask,3
1310859,Head,20,40,-2,3,2,0,-2,0,1,Aelucanth Vertex,3
1310860,Head,10,30,-2,3,3,0,-2,1,1,Aelucanth Clypeus,3
1310861,Head,20,40,-2,3,2,0,-2,0,1,Rhopessa Vertex,3
1310862,Head,10,30,-2,3,3,0,-2,1,1,Rhopessa Clypeus,3
1310865,Head,22,42,2,2,0,-1,0,0,0,Garuga Helm,3
1310866,Head,11,31,3,2,0,-1,0,1,0,Garuga Cap,3
1310867,Head,13,33,3,2,0,-1,0,2,0,Garuga Mask,3
1310868,Head,26,46,3,0,-2,-4,-1,0,0,Uragaan Helm,3
1310869,Head,13,33,4,0,-2,-4,-1,1,0,Uragaan Cap,3
1310870,Head,24,44,4,-2,-4,0,0,0,0,Rathalos Helm,3
1310871,Head,12,32,5,-2,-4,0,0,1,0,Rathalos Cap,3
1310872,Head,24,44,-3,4,-2,2,-1,0,1,Lagiacrus Helm,3
1310873,Head,12,32,-3,5,-2,2,-1,1,1,Lagiacrus Cap,3
1310874,Head,22,42,0,4,1,-1,-4,0,1,Zinogre Helm,3
1310875,Head,11,31,0,5,1,-1,-4,1,1,Zinogre Cap,3
1310876,Head,20,40,0,-3,-1,2,1,0,0,Mizutsune Helm,3
1310877,Head,10,30,0,-2,-1,2,1,1,0,Mizutsune Mask,3
1310878,Head,24,44,0,3,2,-2,-3,0,0,Astalos Helm,3
1310879,Head,12,32,0,4,2,-2,-3,1,0,Astalos Cap,3
1310880,Head,26,46,-3,-1,2,1,3,0,2,Gammoth Helm,3
1310881,Head,13,33,-3,-1,2,1,4,1,2,Gammoth Cap,3
